No,House Type,Address,Township,District,Bed Room,Single Room,Lat/Long,Price (THB)/Per Month,Map Location,Remark
162,Apartment,"262 Moo 4, Chiang Mai",Mae Wang,San Na Meng,4,3,"18.958788, 98.817345",10377,"https://www.google.com/maps?q=18.958788,98.817345",Investment opportunity
163,Townhouse,"263 Moo 3, Chiang Mai",Hot,Nong Han,4,1,"18.699662, 98.945462",10063,"https://www.google.com/maps?q=18.699662,98.945462",Urgent sale
164,Condo,"264 Moo 9, Chiang Mai",Hot,Nong Han,2,3,"18.9666, 99.054218",10087,"https://www.google.com/maps?q=18.9666,99.054218",Renovated
165,Villa,"265 Moo 3, Chiang Mai",Chiang Dao,Nong Han,5,2,"18.953049, 98.976481",8289,"https://www.google.com/maps?q=18.953049,98.976481",Investment opportunity
166,Apartment,"266 Moo 8, Chiang Mai",Saraphi,San Sai Luang,4,3,"18.607705, 99.092906",10589,"https://www.google.com/maps?q=18.607705,99.092906",Urgent sale
167,Townhouse,"267 Moo 4, Chiang Mai",Mae Ai,Nong Han,3,1,"18.74656, 98.841395",6786,"https://www.google.com/maps?q=18.74656,98.841395",New listing
168,Condo,"268 Moo 6, Chiang Mai",Mae On,Mae Faek,5,1,"18.850611, 98.9927",9308,"https://www.google.com/maps?q=18.850611,98.9927",Investment opportunity
169,Condo,"269 Moo 7, Chiang Mai",San Pa Tong,San Sai Luang,4,2,"18.826162, 98.800473",7271,"https://www.google.com/maps?q=18.826162,98.800473",Near market
170,Bungalow,"270 Moo 2, Chiang Mai",Doi Lo,Nong Han,2,3,"18.850786, 99.024775",12949,"https://www.google.com/maps?q=18.850786,99.024775",Urgent sale
171,Detached,"271 Moo 1, Chiang Mai",Omkoi,San Na Meng,3,1,"18.844905, 98.96355",7012,"https://www.google.com/maps?q=18.844905,98.96355",Near school
172,Apartment,"272 Moo 3, Chiang Mai",Wiang Haeng,San Sai Luang,3,2,"18.785838, 98.87514",12135,"https://www.google.com/maps?q=18.785838,98.87514",Investment opportunity
173,Detached,"273 Moo 3, Chiang Mai",Mae Ai,Mae Faek,3,2,"18.666541, 99.07309",8669,"https://www.google.com/maps?q=18.666541,99.07309",Fully furnished
174,Townhouse,"274 Moo 9, Chiang Mai",San Kamphaeng,Nong Han,2,1,"18.743933, 99.093105",12964,"https://www.google.com/maps?q=18.743933,99.093105",Urgent sale
175,Townhouse,"275 Moo 1, Chiang Mai",San Pa Tong,Nong Han,1,1,"18.746914, 98.952576",11619,"https://www.google.com/maps?q=18.746914,98.952576",Quiet area
176,Detached,"276 Moo 1, Chiang Mai",Chom Thong,San Na Meng,4,3,"18.615124, 98.939878",10089,"https://www.google.com/maps?q=18.615124,98.939878",Near market
177,Detached,"277 Moo 7, Chiang Mai",Chiang Dao,San Na Meng,2,1,"18.977609, 99.095905",12356,"https://www.google.com/maps?q=18.977609,99.095905",Investment opportunity
178,Townhouse,"278 Moo 9, Chiang Mai",Saraphi,Mae Faek,2,1,"18.890128, 98.86635",8223,"https://www.google.com/maps?q=18.890128,98.86635",Renovated
179,Apartment,"279 Moo 1, Chiang Mai",Omkoi,San Na Meng,1,1,"18.764564, 98.830303",7448,"https://www.google.com/maps?q=18.764564,98.830303",New listing
180,Apartment,"280 Moo 3, Chiang Mai",Doi Tao,Mae Faek,1,2,"18.759345, 98.967469",7552,"https://www.google.com/maps?q=18.759345,98.967469",Quiet area
181,Detached,"281 Moo 2, Chiang Mai",Mae Wang,San Na Meng,5,2,"18.921595, 98.987334",9798,"https://www.google.com/maps?q=18.921595,98.987334",Urgent sale
182,Bungalow,"282 Moo 7, Chiang Mai",Phrao,San Sai Luang,4,1,"18.913377, 99.012101",8948,"https://www.google.com/maps?q=18.913377,99.012101",Urgent sale
183,Detached,"283 Moo 6, Chiang Mai",Mae Ai,San Sai Luang,5,3,"18.784067, 99.064484",7440,"https://www.google.com/maps?q=18.784067,99.064484",Great view
184,Apartment,"284 Moo 10, Chiang Mai",San Pa Tong,San Sai Luang,2,1,"18.890657, 98.856342",11314,"https://www.google.com/maps?q=18.890657,98.856342",Near school
185,Bungalow,"285 Moo 7, Chiang Mai",Saraphi,Mae Faek,4,2,"18.738606, 99.074764",11389,"https://www.google.com/maps?q=18.738606,99.074764",Price negotiable
186,Bungalow,"286 Moo 3, Chiang Mai",Hot,Mae Faek,1,3,"18.753234, 99.001887",8676,"https://www.google.com/maps?q=18.753234,99.001887",Investment opportunity
187,Bungalow,"287 Moo 5, Chiang Mai",Doi Saket,San Sai Luang,3,3,"18.914983, 98.906556",12210,"https://www.google.com/maps?q=18.914983,98.906556",Fully furnished
188,Condo,"288 Moo 8, Chiang Mai",Hang Dong,Mae Faek,2,3,"18.875296, 98.920146",8316,"https://www.google.com/maps?q=18.875296,98.920146",New listing
189,Detached,"289 Moo 3, Chiang Mai",Mae On,San Na Meng,2,2,"18.917489, 98.931787",9298,"https://www.google.com/maps?q=18.917489,98.931787",Great view
190,Townhouse,"290 Moo 4, Chiang Mai",Mueang,Nong Han,4,1,"18.895063, 98.826202",10868,"https://www.google.com/maps?q=18.895063,98.826202",Fully furnished
191,Villa,"291 Moo 1, Chiang Mai",San Pa Tong,San Sai Luang,4,2,"18.73681, 98.902555",8607,"https://www.google.com/maps?q=18.73681,98.902555",Price negotiable
192,Villa,"292 Moo 1, Chiang Mai",Phrao,Nong Han,4,1,"18.776296, 98.902879",12580,"https://www.google.com/maps?q=18.776296,98.902879",Great view
193,Townhouse,"293 Moo 2, Chiang Mai",Hot,Nong Han,5,1,"18.908231, 98.854495",9996,"https://www.google.com/maps?q=18.908231,98.854495",Quiet area
194,Bungalow,"294 Moo 1, Chiang Mai",San Sai,Mae Faek,4,2,"18.761508, 98.875668",11640,"https://www.google.com/maps?q=18.761508,98.875668",Near school
195,Bungalow,"295 Moo 5, Chiang Mai",Wiang Haeng,Mae Faek,3,1,"18.876599, 99.097627",7240,"https://www.google.com/maps?q=18.876599,99.097627",New listing
196,Bungalow,"296 Moo 3, Chiang Mai",Wiang Haeng,San Na Meng,3,2,"18.688687, 98.977029",10222,"https://www.google.com/maps?q=18.688687,98.977029",Price negotiable
197,Villa,"297 Moo 9, Chiang Mai",Mae Wang,San Na Meng,5,2,"18.825123, 98.874594",7053,"https://www.google.com/maps?q=18.825123,98.874594",New listing
198,Detached,"298 Moo 4, Chiang Mai",Hot,San Na Meng,4,2,"18.629781, 99.074123",10898,"https://www.google.com/maps?q=18.629781,99.074123",Renovated
199,Townhouse,"299 Moo 6, Chiang Mai",San Pa Tong,Nong Han,1,2,"18.737262, 99.025962",8854,"https://www.google.com/maps?q=18.737262,99.025962",New listing
200,Bungalow,"300 Moo 1, Chiang Mai",Mae Chaem,San Na Meng,5,1,"18.767545, 98.952081",7847,"https://www.google.com/maps?q=18.767545,98.952081",Fully furnished
201,Bungalow,"301 Moo 9, Chiang Mai",Mueang,Nong Han,3,3,"18.62159, 98.8718",11613,"https://www.google.com/maps?q=18.62159,98.8718",Investment opportunity
202,Detached,"302 Moo 10, Chiang Mai",Mae Wang,Nong Han,5,1,"18.796289, 99.019776",8547,"https://www.google.com/maps?q=18.796289,99.019776",Near school
203,Bungalow,"303 Moo 3, Chiang Mai",San Pa Tong,Mae Faek,2,1,"18.636891, 98.917886",12827,"https://www.google.com/maps?q=18.636891,98.917886",Near school
204,Villa,"304 Moo 8, Chiang Mai",San Sai,San Sai Luang,1,3,"18.997831, 99.05872",6591,"https://www.google.com/maps?q=18.997831,99.05872",Investment opportunity
205,Apartment,"305 Moo 5, Chiang Mai",San Kamphaeng,Nong Han,4,2,"18.642621, 99.034002",9918,"https://www.google.com/maps?q=18.642621,99.034002",Price negotiable
206,Bungalow,"306 Moo 7, Chiang Mai",Hot,San Sai Luang,3,3,"18.811817, 98.896601",7334,"https://www.google.com/maps?q=18.811817,98.896601",Price negotiable
207,Villa,"307 Moo 9, Chiang Mai",Doi Lo,Mae Faek,4,1,"18.792457, 98.943462",8239,"https://www.google.com/maps?q=18.792457,98.943462",Near market
208,Detached,"308 Moo 5, Chiang Mai",Mae On,San Na Meng,3,2,"18.763266, 98.893141",10411,"https://www.google.com/maps?q=18.763266,98.893141",Near school
209,Villa,"309 Moo 8, Chiang Mai",San Pa Tong,Mae Faek,4,2,"18.931047, 99.038935",8253,"https://www.google.com/maps?q=18.931047,99.038935",Investment opportunity
210,Detached,"310 Moo 5, Chiang Mai",Hot,San Sai Luang,2,1,"18.744797, 99.078308",11074,"https://www.google.com/maps?q=18.744797,99.078308",Quiet area
211,Townhouse,"311 Moo 4, Chiang Mai",Mueang,San Na Meng,1,2,"18.807291, 99.059949",10914,"https://www.google.com/maps?q=18.807291,99.059949",Near school
212,Villa,"312 Moo 5, Chiang Mai",Doi Saket,San Sai Luang,1,2,"18.988213, 98.858787",12494,"https://www.google.com/maps?q=18.988213,98.858787",Price negotiable
213,Apartment,"313 Moo 6, Chiang Mai",Chiang Dao,Nong Han,3,3,"18.909299, 98.954316",10338,"https://www.google.com/maps?q=18.909299,98.954316",Renovated
214,Villa,"314 Moo 8, Chiang Mai",Chiang Dao,San Sai Luang,4,1,"18.936462, 98.804362",10263,"https://www.google.com/maps?q=18.936462,98.804362",Near market
215,Bungalow,"315 Moo 3, Chiang Mai",Mae On,Mae Faek,4,2,"18.909597, 98.857366",12513,"https://www.google.com/maps?q=18.909597,98.857366",Quiet area
216,Detached,"316 Moo 1, Chiang Mai",Omkoi,Nong Han,1,3,"18.624511, 98.995627",7623,"https://www.google.com/maps?q=18.624511,98.995627",Near market
217,Apartment,"317 Moo 7, Chiang Mai",Doi Tao,San Sai Luang,5,2,"18.747881, 98.943555",8097,"https://www.google.com/maps?q=18.747881,98.943555",Quiet area
218,Detached,"318 Moo 7, Chiang Mai",San Sai,San Na Meng,2,1,"18.626231, 98.95365",9010,"https://www.google.com/maps?q=18.626231,98.95365",Near school
219,Townhouse,"319 Moo 10, Chiang Mai",Mae Taeng,San Sai Luang,2,1,"18.936921, 98.99631",6535,"https://www.google.com/maps?q=18.936921,98.99631",Near school
220,Bungalow,"320 Moo 3, Chiang Mai",Mueang,Nong Han,4,2,"18.852071, 98.972588",8240,"https://www.google.com/maps?q=18.852071,98.972588",Price negotiable
221,Townhouse,"321 Moo 4, Chiang Mai",Mae On,San Sai Luang,4,2,"18.928756, 98.97882",7576,"https://www.google.com/maps?q=18.928756,98.97882",Quiet area
222,Apartment,"322 Moo 6, Chiang Mai",Mae On,San Na Meng,5,2,"18.70196, 98.912846",7366,"https://www.google.com/maps?q=18.70196,98.912846",Quiet area
223,Detached,"323 Moo 8, Chiang Mai",Mae Taeng,San Sai Luang,1,3,"18.63384, 98.880785",11081,"https://www.google.com/maps?q=18.63384,98.880785",Near market
224,Bungalow,"324 Moo 5, Chiang Mai",Mae Taeng,Nong Han,3,2,"18.819101, 99.051845",9889,"https://www.google.com/maps?q=18.819101,99.051845",Near school
225,Villa,"325 Moo 9, Chiang Mai",Mae On,San Na Meng,3,2,"18.894884, 98.923565",8889,"https://www.google.com/maps?q=18.894884,98.923565",Near market
226,Bungalow,"326 Moo 7, Chiang Mai",Phrao,Mae Faek,5,2,"18.752109, 98.81334",11248,"https://www.google.com/maps?q=18.752109,98.81334",New listing
227,Condo,"327 Moo 6, Chiang Mai",Saraphi,Mae Faek,2,3,"18.968661, 98.876806",6585,"https://www.google.com/maps?q=18.968661,98.876806",Great view
228,Bungalow,"328 Moo 8, Chiang Mai",Hang Dong,San Na Meng,2,2,"18.69685, 98.926656",7138,"https://www.google.com/maps?q=18.69685,98.926656",New listing
229,Condo,"329 Moo 5, Chiang Mai",Hot,San Sai Luang,5,3,"18.64037, 99.038721",10808,"https://www.google.com/maps?q=18.64037,99.038721",Urgent sale
230,Villa,"330 Moo 6, Chiang Mai",Hang Dong,Mae Faek,5,2,"18.770687, 98.802582",11564,"https://www.google.com/maps?q=18.770687,98.802582",Quiet area
231,Detached,"331 Moo 2, Chiang Mai",Doi Lo,Nong Han,1,2,"18.817181, 99.099214",10557,"https://www.google.com/maps?q=18.817181,99.099214",Great view
232,Detached,"332 Moo 8, Chiang Mai",Doi Saket,Mae Faek,4,1,"18.64754, 99.004918",6774,"https://www.google.com/maps?q=18.64754,99.004918",Near market
233,Villa,"333 Moo 3, Chiang Mai",Mae Taeng,San Na Meng,5,3,"18.911126, 99.030188",11365,"https://www.google.com/maps?q=18.911126,99.030188",Renovated
234,Townhouse,"334 Moo 4, Chiang Mai",Mae Taeng,San Na Meng,3,1,"18.852292, 98.804749",10957,"https://www.google.com/maps?q=18.852292,98.804749",Fully furnished
235,Apartment,"335 Moo 3, Chiang Mai",San Sai,San Sai Luang,3,1,"18.690112, 98.915423",10043,"https://www.google.com/maps?q=18.690112,98.915423",Near school
236,Detached,"336 Moo 5, Chiang Mai",San Pa Tong,San Sai Luang,1,1,"18.62082, 98.865785",10857,"https://www.google.com/maps?q=18.62082,98.865785",Near school
237,Villa,"337 Moo 1, Chiang Mai",Mae Taeng,Nong Han,1,2,"18.853169, 98.906826",8798,"https://www.google.com/maps?q=18.853169,98.906826",Urgent sale
238,Townhouse,"338 Moo 9, Chiang Mai",Mae Rim,San Sai Luang,2,3,"18.732834, 98.808724",12616,"https://www.google.com/maps?q=18.732834,98.808724",Investment opportunity
239,Detached,"339 Moo 7, Chiang Mai",Doi Lo,Mae Faek,4,2,"18.934246, 98.818374",7790,"https://www.google.com/maps?q=18.934246,98.818374",Great view
240,Apartment,"340 Moo 1, Chiang Mai",Chom Thong,Mae Faek,3,3,"18.675786, 98.978438",12174,"https://www.google.com/maps?q=18.675786,98.978438",Investment opportunity
241,Condo,"341 Moo 8, Chiang Mai",Doi Lo,Nong Han,2,1,"18.70983, 98.956222",9424,"https://www.google.com/maps?q=18.70983,98.956222",Renovated
242,Bungalow,"342 Moo 8, Chiang Mai",Mae On,San Sai Luang,5,2,"18.632098, 98.885224",8899,"https://www.google.com/maps?q=18.632098,98.885224",New listing
243,Villa,"343 Moo 9, Chiang Mai",Chom Thong,San Sai Luang,2,2,"18.648948, 98.864267",8618,"https://www.google.com/maps?q=18.648948,98.864267",Great view
244,Bungalow,"344 Moo 7, Chiang Mai",Saraphi,San Sai Luang,1,3,"18.996746, 99.06832",10501,"https://www.google.com/maps?q=18.996746,99.06832",Fully furnished
245,Bungalow,"345 Moo 8, Chiang Mai",Mae Rim,Mae Faek,4,1,"18.6065, 98.862245",10941,"https://www.google.com/maps?q=18.6065,98.862245",Near market
246,Apartment,"346 Moo 1, Chiang Mai",Doi Tao,San Sai Luang,1,2,"18.881019, 98.821032",7336,"https://www.google.com/maps?q=18.881019,98.821032",Price negotiable
247,Townhouse,"347 Moo 1, Chiang Mai",Chiang Dao,Mae Faek,5,3,"18.840365, 99.051095",6586,"https://www.google.com/maps?q=18.840365,99.051095",Near school
248,Villa,"348 Moo 10, Chiang Mai",Chiang Dao,San Na Meng,2,3,"18.790325, 99.090584",6583,"https://www.google.com/maps?q=18.790325,99.090584",Price negotiable
249,Apartment,"349 Moo 3, Chiang Mai",Mae On,San Na Meng,2,1,"18.777214, 98.97928",12322,"https://www.google.com/maps?q=18.777214,98.97928",Fully furnished
250,Bungalow,"350 Moo 1, Chiang Mai",Chom Thong,San Sai Luang,5,2,"18.736009, 98.858253",7911,"https://www.google.com/maps?q=18.736009,98.858253",Quiet area
251,Townhouse,"351 Moo 8, Chiang Mai",Mae On,San Na Meng,2,3,"18.667406, 98.951441",10424,"https://www.google.com/maps?q=18.667406,98.951441",Price negotiable
252,Bungalow,"352 Moo 3, Chiang Mai",Chiang Dao,San Na Meng,1,1,"18.80364, 98.951208",10807,"https://www.google.com/maps?q=18.80364,98.951208",Price negotiable
253,Townhouse,"353 Moo 6, Chiang Mai",San Sai,San Na Meng,4,3,"18.905632, 99.013177",8639,"https://www.google.com/maps?q=18.905632,99.013177",Great view
254,Villa,"354 Moo 5, Chiang Mai",Mae On,Nong Han,1,3,"18.97001, 98.926262",7160,"https://www.google.com/maps?q=18.97001,98.926262",Fully furnished
255,Detached,"355 Moo 2, Chiang Mai",Hang Dong,Mae Faek,5,3,"18.767647, 99.077929",10254,"https://www.google.com/maps?q=18.767647,99.077929",Urgent sale
256,Apartment,"356 Moo 4, Chiang Mai",Mueang,San Sai Luang,2,1,"18.757268, 99.039857",8814,"https://www.google.com/maps?q=18.757268,99.039857",Urgent sale
257,Apartment,"357 Moo 2, Chiang Mai",Samoeng,Nong Han,1,3,"18.853649, 99.036145",8694,"https://www.google.com/maps?q=18.853649,99.036145",Investment opportunity
258,Detached,"358 Moo 2, Chiang Mai",Chiang Dao,Nong Han,3,3,"18.619447, 99.006123",9852,"https://www.google.com/maps?q=18.619447,99.006123",Renovated
259,Villa,"359 Moo 5, Chiang Mai",Doi Tao,Mae Faek,3,2,"18.711493, 98.995999",9831,"https://www.google.com/maps?q=18.711493,98.995999",Quiet area
260,Condo,"360 Moo 1, Chiang Mai",Doi Lo,Mae Faek,1,1,"18.661806, 98.814473",8015,"https://www.google.com/maps?q=18.661806,98.814473",Near school
261,Detached,"361 Moo 3, Chiang Mai",Samoeng,Mae Faek,1,3,"18.68797, 98.871885",11334,"https://www.google.com/maps?q=18.68797,98.871885",Price negotiable
262,Detached,"362 Moo 4, Chiang Mai",San Pa Tong,Mae Faek,1,3,"18.672224, 98.842274",11294,"https://www.google.com/maps?q=18.672224,98.842274",Investment opportunity
263,Townhouse,"363 Moo 9, Chiang Mai",Chiang Dao,San Sai Luang,2,2,"18.736389, 98.967216",12445,"https://www.google.com/maps?q=18.736389,98.967216",Renovated
264,Townhouse,"364 Moo 9, Chiang Mai",Omkoi,San Sai Luang,4,2,"18.858092, 98.832613",9393,"https://www.google.com/maps?q=18.858092,98.832613",Near market
265,Detached,"365 Moo 2, Chiang Mai",Doi Saket,San Sai Luang,4,3,"18.920494, 98.917491",12267,"https://www.google.com/maps?q=18.920494,98.917491",Investment opportunity
266,Apartment,"366 Moo 8, Chiang Mai",Chom Thong,Nong Han,4,2,"18.839557, 99.002928",7788,"https://www.google.com/maps?q=18.839557,99.002928",Near school
267,Apartment,"367 Moo 6, Chiang Mai",Mae Chaem,Nong Han,1,2,"18.614602, 98.862124",11677,"https://www.google.com/maps?q=18.614602,98.862124",Investment opportunity
268,Villa,"368 Moo 10, Chiang Mai",Doi Tao,Nong Han,4,3,"18.95066, 98.974744",12169,"https://www.google.com/maps?q=18.95066,98.974744",Near market
269,Villa,"369 Moo 8, Chiang Mai",San Pa Tong,San Sai Luang,3,2,"18.772486, 99.008096",8957,"https://www.google.com/maps?q=18.772486,99.008096",Near school
270,Villa,"370 Moo 7, Chiang Mai",Samoeng,Nong Han,5,2,"18.959154, 99.039287",11009,"https://www.google.com/maps?q=18.959154,99.039287",Near market
271,Townhouse,"371 Moo 3, Chiang Mai",Mae On,Mae Faek,4,3,"18.809032, 98.87371",12577,"https://www.google.com/maps?q=18.809032,98.87371",New listing
272,Apartment,"372 Moo 4, Chiang Mai",Chom Thong,Nong Han,5,2,"18.667559, 99.025319",9004,"https://www.google.com/maps?q=18.667559,99.025319",Quiet area
273,Villa,"373 Moo 4, Chiang Mai",Doi Lo,Nong Han,4,2,"18.851423, 98.884242",7373,"https://www.google.com/maps?q=18.851423,98.884242",Price negotiable
274,Detached,"374 Moo 3, Chiang Mai",Mae Taeng,Mae Faek,3,3,"18.877554, 98.908873",6520,"https://www.google.com/maps?q=18.877554,98.908873",Near school
275,Condo,"375 Moo 6, Chiang Mai",Chom Thong,San Na Meng,5,2,"18.685143, 99.07275",9201,"https://www.google.com/maps?q=18.685143,99.07275",Near school
276,Townhouse,"376 Moo 2, Chiang Mai",Saraphi,Nong Han,1,3,"18.849576, 99.012013",8724,"https://www.google.com/maps?q=18.849576,99.012013",Urgent sale
277,Bungalow,"377 Moo 9, Chiang Mai",San Pa Tong,San Na Meng,5,3,"18.925373, 98.92677",12468,"https://www.google.com/maps?q=18.925373,98.92677",Near school
278,Villa,"378 Moo 9, Chiang Mai",San Sai,Nong Han,5,2,"18.611256, 98.84263",9909,"https://www.google.com/maps?q=18.611256,98.84263",Near school
279,Condo,"379 Moo 5, Chiang Mai",Hang Dong,Nong Han,4,1,"18.962664, 98.887531",9100,"https://www.google.com/maps?q=18.962664,98.887531",Quiet area
280,Condo,"380 Moo 8, Chiang Mai",Chiang Dao,San Na Meng,5,1,"18.870621, 98.823228",7440,"https://www.google.com/maps?q=18.870621,98.823228",New listing
281,Condo,"381 Moo 4, Chiang Mai",Mueang,San Sai Luang,2,3,"18.889884, 98.858331",8126,"https://www.google.com/maps?q=18.889884,98.858331",Renovated
282,Villa,"382 Moo 5, Chiang Mai",Mueang,San Sai Luang,2,2,"18.873371, 98.918219",9653,"https://www.google.com/maps?q=18.873371,98.918219",Near market
283,Townhouse,"383 Moo 1, Chiang Mai",Mae Ai,Nong Han,1,3,"18.99835, 98.943908",7659,"https://www.google.com/maps?q=18.99835,98.943908",Investment opportunity
284,Townhouse,"384 Moo 1, Chiang Mai",Omkoi,San Sai Luang,5,3,"18.961147, 99.031735",10995,"https://www.google.com/maps?q=18.961147,99.031735",New listing
285,Townhouse,"385 Moo 10, Chiang Mai",Mae Ai,San Na Meng,4,3,"18.956268, 98.997795",12410,"https://www.google.com/maps?q=18.956268,98.997795",Great view
286,Condo,"386 Moo 8, Chiang Mai",Doi Tao,Nong Han,1,1,"18.992326, 98.848097",8407,"https://www.google.com/maps?q=18.992326,98.848097",Great view
287,Apartment,"387 Moo 8, Chiang Mai",Omkoi,San Na Meng,2,2,"18.700139, 99.035458",6716,"https://www.google.com/maps?q=18.700139,99.035458",Fully furnished
288,Townhouse,"388 Moo 10, Chiang Mai",Doi Saket,Mae Faek,1,1,"18.616504, 99.026328",11446,"https://www.google.com/maps?q=18.616504,99.026328",Investment opportunity
289,Bungalow,"389 Moo 3, Chiang Mai",Mae Rim,San Sai Luang,2,3,"18.852504, 98.829767",9891,"https://www.google.com/maps?q=18.852504,98.829767",Price negotiable
290,Villa,"390 Moo 4, Chiang Mai",Doi Tao,Nong Han,2,2,"18.700868, 99.075387",10052,"https://www.google.com/maps?q=18.700868,99.075387",Renovated
291,Bungalow,"391 Moo 3, Chiang Mai",San Kamphaeng,San Sai Luang,4,3,"18.964331, 98.872391",11600,"https://www.google.com/maps?q=18.964331,98.872391",Quiet area
292,Townhouse,"392 Moo 4, Chiang Mai",Doi Lo,San Sai Luang,2,2,"18.623877, 99.084465",11526,"https://www.google.com/maps?q=18.623877,99.084465",Near school
293,Condo,"393 Moo 9, Chiang Mai",Mae Taeng,Nong Han,4,3,"18.811641, 98.841402",6810,"https://www.google.com/maps?q=18.811641,98.841402",Renovated
